,months,cum_return,cagr,vol,best,worst,mean_m,median_m,skew,kurt,jb_p,hit,n_pos,n_neg,avg_pos,avg_neg,downside_dev,max_dd,sharpe,sortino,calmar,var95_hist,cvar95_hist,var99_hist,cvar99_hist,var95_param,terminal,var95_cf,beta,corr,treynor,te,info_ratio,m2,up_capture,down_capture
MSFT,72.0,3.18972227768339,0.26968953284792585,0.2040314474240752,0.176291037079542,-0.1092668304909648,0.021779057290591583,0.025021507753926052,-0.02997565185748835,-0.15835574382561202,0.9191060539371991,0.6527777777777778,47.0,25.0,0.05539128527437796,-0.0414119313189268,0.10681412514709496,-0.30528464382643383,1.227337046888083,2.344402987984181,0.8834035327412499,-0.07097328365627753,-0.09213143651949046,-0.10259291545917827,-0.1092668304909648,-0.07510085663603934,418972227.768339,-0.07578995241453541,0.9331140478643023,0.7816294732366444,0.2683652172281756,0.12777557082197802,1.0910231787958746,0.22069549671042982,1.325124437849819,0.7967368600697741
GOOGL,72.0,1.2267650875736247,0.14273553850101228,0.24139193788285535,0.1590000590220581,-0.179467023045833,0.013596787392934883,0.01904942540110205,-0.378569092622608,-0.03834623862812947,0.4295200495076751,0.6388888888888888,46.0,26.0,0.054828967430446525,-0.05935245421189343,0.1549900398491721,-0.40403653255577054,0.6306263445126312,0.9821799873722559,0.3532738428332839,-0.10759830813868573,-0.13858897665448383,-0.14604058034577633,-0.179467023045833,-0.1010229462801115,222676508.75736246,-0.10838804321986233,1.089610473735429,0.7714571666857548,0.13970874826488508,0.15435483590692345,0.2670397103957698,0.11871264843097498,1.1794683183060397,1.130653890517089
AMZN,72.0,1.2403883485662832,0.14389778111046736,0.32230464700769257,0.2705959712975005,-0.2375250931362105,0.015466908606129478,0.0247981977667924,0.2514273717179307,1.1457885366830975,0.1619353604069326,0.5555555555555556,40.0,32.0,0.07849354592428423,-0.06331638804156398,0.1912801050685039,-0.5209676463567983,0.5419393470180137,0.9131611982211391,0.2762125097724691,-0.11364898071531011,-0.17151760212662476,-0.21243841963948693,-0.2375250931362105,-0.13757247259944622,224038834.85662833,-0.12866094703139183,1.226724191255756,0.6504945652250945,0.14238699390236775,0.24784176576473885,0.2568587463080594,0.10355529902556225,1.247171944143921,1.2256822759991155
V,72.0,1.7712703098369218,0.1851677215929659,0.22161113306468064,0.1661131633121217,-0.1164908334381717,0.016258731248992825,0.025593192586276098,-0.08899014546385813,-0.3341357077833438,0.7573790165970253,0.625,45.0,27.0,0.05667996932715547,-0.05110999888127826,0.13015296086113118,-0.2728886901936638,0.831056811576462,1.4150384319807008,0.6785467051109959,-0.0879359355922214,-0.10683613945745392,-0.11440741420463409,-0.1164908334381717,-0.08896851566586707,277127030.98369217,-0.09100866372405285,0.9597449345069435,0.740163328890482,0.1918962372530742,0.1491760723018786,0.490441904137366,0.15296789110012646,1.193509478405996,0.9614571607542607
EQIX,72.0,1.0460711584323596,0.12673068592132886,0.22686339837802064,0.2252264685648319,-0.1429822579581798,0.012103881801257673,0.0160866995662406,-0.07906691540794605,1.085664164001475,0.2639501425931637,0.6111111111111112,44.0,28.0,0.05218198086349694,-0.05087598815368973,0.14251552090489727,-0.3212453595103769,0.5920445926581495,0.94244646077102,0.3944981061033356,-0.1223087153632078,-0.13407177176356552,-0.13708269705985934,-0.1429822579581798,-0.09561728954486207,204607115.84323597,-0.09564665573043699,0.5853577428968805,0.44098137158735523,0.22945497844968293,0.21559327185900415,0.1080924435985437,0.11211870444762159,0.8007710474329524,0.6304028081650496
ILMN,72.0,0.5791940496953578,0.07912706046980289,0.36333223237473794,0.2503905429525579,-0.2301653826077974,0.011781563702428785,0.0214842250180148,0.011282205668334853,-0.44797452316756736,0.6871406997418821,0.5694444444444444,41.0,31.0,0.08532747863987941,-0.08548883992452207,0.23152234467373053,-0.6281190135190685,0.359025210186339,0.5634248015224639,0.125974630232079,-0.15157848042931055,-0.19050032529273458,-0.20357822859021488,-0.2301653826077974,-0.16073887784535693,157919404.96953577,-0.16135046435483988,1.1428304493118147,0.53757762694068,0.11414241821642326,0.30733789734815964,0.06324044825061219,0.07229374365138878,1.1876764007447413,1.4375790731265714
ROK,72.0,1.1512684194073928,0.1361851279683628,0.31362763892240364,0.280819053182725,-0.1776023980607707,0.014671225451339389,0.017945713106331702,0.2358759180566185,0.7123678626921794,0.4371535345646227,0.5694444444444444,41.0,31.0,0.07494913013426857,-0.06505116461317986,0.18898390539604767,-0.42317950871474197,0.5264885857958228,0.8737324574635053,0.3218140887350074,-0.14346970176542367,-0.16790855677438732,-0.17330469824378966,-0.1776023980607707,-0.13424806639028528,215126841.94073927,-0.1267814690388991,1.444847747966356,0.7873558647438206,0.1142828871174489,0.2077616854633478,0.260452870600011,0.10091463474511277,1.3384910224342916,1.3943902516164093
NEE,72.0,2.2172635291699865,0.21501350719458223,0.1960844001390229,0.1687557126394305,-0.1632392342327655,0.01796346932897779,0.02317361519381595,-0.6928975313818933,1.8688140945637564,0.001016586437311604,0.6944444444444444,50.0,22.0,0.0460276144565094,-0.0458186786881395,0.12135699801093815,-0.2350755646624928,1.0435725558449302,1.686168098818303,0.9146569848860537,-0.07100071050022023,-0.12241062470615044,-0.16208250836314733,-0.1632392342327655,-0.07514296131031219,321726352.9169986,-0.08364664800430538,0.497367475417162,0.43350853050575866,0.41142275827901736,0.19647616220730985,0.47649064832865135,0.1892886086914961,0.80387948725617,0.22852942483380742
COST,72.0,2.2151937913004702,0.21488319801547262,0.2202304825079809,0.1483564599824474,-0.1534537713110084,0.018369025401848704,0.0229424578671425,-0.615031565088572,0.18408112233634455,0.11220399704503803,0.6666666666666666,48.0,24.0,0.054258766913787955,-0.053410457622029804,0.13802427408699036,-0.20316270248754897,0.9512532920199144,1.517812521562809,1.0576901930542195,-0.11174707275923575,-0.12736569403362852,-0.13196303283501953,-0.1534537713110084,-0.08620264949808638,321519379.130047,-0.09662943429278015,0.789272672527692,0.6125096648739725,0.2654278790850963,0.17777049250844373,0.554004916091794,0.173510474599955,0.9844879126117633,0.5116122460833945
ALB,72.0,1.7200674985657085,0.18148971898228372,0.43759982401071706,0.4587495662379295,-0.3074963726495502,0.02166404272870605,0.02525562914029795,0.395448237850856,1.6729688027618277,0.015437896237159006,0.5833333333333334,42.0,30.0,0.10155520400858493,-0.09018358306312439,0.2587996011615337,-0.5826215837726826,0.5690934176542087,0.9622703369457674,0.31150531328941344,-0.17449489258556225,-0.22981267182171283,-0.24441893194641,-0.3074963726495502,-0.18612075623098928,272006749.85657084,-0.1672848075231983,1.4680367073545848,0.5733543162785913,0.16963825098072846,0.36734390483223606,0.3757403699703717,0.10819615673908498,1.4822019349840505,1.4032987868967541
SLB,72.0,-0.23506881439225769,-0.04367892242095428,0.49010445185036766,0.4493037444584205,-0.502030146897557,0.006533200508140955,-0.004003929310226,0.17334242927254354,2.982289693864778,1.5365602011288574e-05,0.4861111111111111,35.0,37.0,0.10552429851918084,-0.08710702734014,0.31920344847536797,-0.8161476131082812,0.13765447857012256,0.21135446088253715,-0.05351840980653489,-0.18785266435533737,-0.27596748718204556,-0.30316045303215844,-0.502030146897557,-0.22618228384380498,76493118.56077424,-0.21061611631315139,1.775151593550036,0.6190277371834118,0.03800524586716456,0.40707353693715537,-0.1069688102704601,0.03445963468358343,1.1551819391318257,1.9977348123727012
