rank,ingredient,score,is_breakout,is_new,growth_pct,mean_recent,acceleration,sustained,source,discovered_context,kalodata_url,google_trends_url
1,superfoods,39.83,False,False,18.12,47.25,5.44,True,trends,superfoods,https://www.kalodata.com/product?keyword=superfoods,https://trends.google.com/trends/explore?q=superfoods
2,magnesium glycinate,37.97,False,False,6.39,58.25,3.94,True,trends,magnesium glycinate supplement,https://www.kalodata.com/product?keyword=magnesium+glycinate,https://trends.google.com/trends/explore?q=magnesium+glycinate
3,remedy,36.42,False,False,6.19,70.75,2.08,True,trends,best natural remedy for anxiety,https://www.kalodata.com/product?keyword=remedy,https://trends.google.com/trends/explore?q=remedy
4,probiotics,33.39,False,False,12.02,47.75,2.78,True,trends,probiotics,https://www.kalodata.com/product?keyword=probiotics,https://trends.google.com/trends/explore?q=probiotics
5,store,28.51,False,False,6.31,65.25,-0.54,True,trends,supplement store,https://www.kalodata.com/product?keyword=store,https://trends.google.com/trends/explore?q=store
6,growth,28.26,False,True,10.68,42.75,1.32,True,trends,growth,https://www.kalodata.com/product?keyword=growth,https://trends.google.com/trends/explore?q=growth
7,niacinamide,27.04,False,True,3.92,39.75,1.58,True,trends,niacinamide,https://www.kalodata.com/product?keyword=niacinamide,https://trends.google.com/trends/explore?q=niacinamide
8,source,25.35,False,False,-2.74,17.75,3.37,True,trends,supplement source,https://www.kalodata.com/product?keyword=source,https://trends.google.com/trends/explore?q=source
9,anti inflammatory,24.77,False,True,3.17,61.0,-1.4,True,trends,natural anti inflammatory supplements,https://www.kalodata.com/product?keyword=anti+inflammatory,https://trends.google.com/trends/explore?q=anti+inflammatory
10,vitamin d3,24.22,False,True,5.93,31.25,1.17,True,trends,nature made vitamin d3 2000 iu,https://www.kalodata.com/product?keyword=vitamin+d3,https://trends.google.com/trends/explore?q=vitamin+d3
11,fermented foods,24.05,False,True,-0.85,29.0,1.72,True,trends,fermented foods,https://www.kalodata.com/product?keyword=fermented+foods,https://trends.google.com/trends/explore?q=fermented+foods
12,multivitamin,23.88,False,True,-0.47,26.5,1.9,True,trends,multivitamin,https://www.kalodata.com/product?keyword=multivitamin,https://trends.google.com/trends/explore?q=multivitamin
13,nmn,23.56,False,False,2.67,24.0,1.85,True,trends,nmn supplement,https://www.kalodata.com/product?keyword=nmn,https://trends.google.com/trends/explore?q=nmn
14,whey protein,23.12,False,False,-2.44,35.0,0.75,True,trends,whey protein,https://www.kalodata.com/product?keyword=whey+protein,https://trends.google.com/trends/explore?q=whey+protein
15,ashwagandha,20.23,False,False,3.78,24.0,0.44,True,trends,ashwagandha adaptogen,https://www.kalodata.com/product?keyword=ashwagandha,https://trends.google.com/trends/explore?q=ashwagandha
16,adaptogens,19.24,False,False,4.76,19.25,0.45,True,trends,adaptogens,https://www.kalodata.com/product?keyword=adaptogens,https://trends.google.com/trends/explore?q=adaptogens
17,curcumin,18.59,False,True,9.59,10.0,0.8,True,trends,curcumin supplement,https://www.kalodata.com/product?keyword=curcumin,https://trends.google.com/trends/explore?q=curcumin
18,superfood,17.33,False,False,-5.64,23.0,-0.37,True,trends,superfood powder,https://www.kalodata.com/product?keyword=superfood,https://trends.google.com/trends/explore?q=superfood
19,longevity,17.31,False,False,13.13,28.0,-1.75,True,trends,best longevity supplement,https://www.kalodata.com/product?keyword=longevity,https://trends.google.com/trends/explore?q=longevity
20,l glutamine,17.26,False,True,0.89,28.25,-0.98,True,trends,l glutamine,https://www.kalodata.com/product?keyword=l+glutamine,https://trends.google.com/trends/explore?q=l+glutamine
21,nootropics,15.99,False,False,-3.8,9.5,0.45,True,trends,nootropics,https://www.kalodata.com/product?keyword=nootropics,https://trends.google.com/trends/explore?q=nootropics
22,dog gut,15.43,False,False,-2.22,11.0,0.07,True,trends,dog gut health supplement,https://www.kalodata.com/product?keyword=dog+gut,https://trends.google.com/trends/explore?q=dog+gut
23,nootropic,15.17,False,False,-9.92,14.75,-0.41,True,trends,nootropic supplement,https://www.kalodata.com/product?keyword=nootropic,https://trends.google.com/trends/explore?q=nootropic
24,vitamin k2,14.88,False,True,-3.45,10.5,-0.1,True,trends,vitamin k2,https://www.kalodata.com/product?keyword=vitamin+k2,https://trends.google.com/trends/explore?q=vitamin+k2
25,world,13.8,False,False,-27.67,54.25,-4.9,True,trends,supplement world,https://www.kalodata.com/product?keyword=world,https://trends.google.com/trends/explore?q=world
26,walmart,13.35,False,False,-3.4,17.75,-1.44,True,trends,walmart near me,https://www.kalodata.com/product?keyword=walmart,https://trends.google.com/trends/explore?q=walmart
27,improve gut,9.1,False,False,20.0,3.0,0.65,False,trends,improve gut health,https://www.kalodata.com/product?keyword=improve+gut,https://trends.google.com/trends/explore?q=improve+gut
28,zinc,7.73,False,True,8.33,3.25,0.3,False,trends,zinc supplement,https://www.kalodata.com/product?keyword=zinc,https://trends.google.com/trends/explore?q=zinc
29,vitamin e oil,7.73,False,True,8.33,3.25,0.3,False,trends,vitamin e oil,https://www.kalodata.com/product?keyword=vitamin+e+oil,https://trends.google.com/trends/explore?q=vitamin+e+oil
